ID_PRODUCTO	DESCRIPCIÓN DE PRODUCTO
P0050	DICLOXACILINA - 250 MG./5 ML./60 ML. - POLVO PARA SUSPENSION ORAL
P0089	FURAZOLIDONA - 50 MG/ 5 ML./ 120 ML. - SUSPENSION ORAL - FURAZOLIDONA
P0028	FLUFENAZINA DECANOATO - 25 MG/ML INY 1ML - SOLUCION INYECTABLE
P0020	METFORMINA - 850 MG - TABLETA RECUBIERTA - METFORCAD
P0053	CEFTRIAXONA - 1 GR - POLVO PARA SOLUCION INYECTABLE - TREXACAD
P0011	AGUA ESTERIL - PARA INYECCION X 5ML  - SOLUCION INYECTABLE - AGUA ESTÉRIL PARA INYECCIÓN
P0018	NAPROXENO - 550 MG.  - TABLETA RECUBIERTA - NAPROXENO
P0090	SULFATO DE BARIO CON EQUIPO (USO RECTAL) - 397 G. (POLVO) - POLVO PARA SUSPENSION RECTAL - BARIO DIF
P0091	ALBENDAZOL - 100 MG./ 5 ML./ 20 ML. - SUSPENSION ORAL
P0092	CLOPIDOGREL - 75 MG - TABLETA RECUBIERTA - CLOPIDOFREL
P0092	CLOPIDOGREL - 75 MG - TABLETA RECUBIERTA - CLOPIDOFREL
P0093	ALCOHOL ETILICO (MEDICINAL) 70° - 70° - SOLUCION TOPICA - ALCOHOL ETILICO
P0079	ALBENDAZOL - 100 MG./ 5 ML./ 20 ML. - SUSPENSION ORAL - ALBENDAZOL
P0079	ALBENDAZOL - 100 MG./ 5 ML./ 20 ML. - SUSPENSION ORAL - ALBENDAZOL
P0014	HIOSCINA BUTIL BROMURO - 10 MG. - TABLETA RECUBIERTA - BUSCAD
P0094	LORATADINA - 10 MG. - TABLETA - LORATADINA
P0081	BISACODILO - 5 MG - TABLETA DE LIBERACION RETARDADA - BISCAD
P0095	ALPROSTADIL - 500 MCG/ML X 1 ML - SOLUCION INYECTABLE - ALPOSCAD 500
P0095	ALPROSTADIL - 500 MCG/ML X 1 ML - SOLUCION INYECTABLE - ALPOSCAD 500
P0012	CEFALEXINA - 250 MG/ 5 ML SUS 60 ML. - POLVO PARA SUSPENSION ORAL - CEFALEXINA 250 MG/5ML
P0054	SIMETICONA - 80 MG. / ML. X 15 ML - SUSPENSION ORAL - SIMETICONA
P0085	INDOMETACINA - 25 MG  - CAPSULA - IMECAD
P0024	BUPIVACAINA (SIN PRESERVANTES) - 0.5 %./ 20 ML. - SOLUCION INYECTABLE - BUPIVACAINA
